,link,name,price,rating,description,how_to_use,country_of_origin
10,https://goldapple.ru/19000008797-travel-set-plush-onsen-voodoo,"MIN NEW YORK TRAVEL SET: PLUSH, ONSEN, VOODOO",9 138₽,4.6,"Открывайте для себя мир и новые ароматы! В набор для путешествий MIN NEW YORK входят 3 миниатюры парфюмерной воды: PLUSH (10 мл), ONSEN (10 мл) и VOODOO (10 мл). Объем, идеальный для поездок, позволит всегда носить любимый аромат с собой или брать его в путешествия. В композиции PLUSH ваниль, жасмин, ирис и апельсиновый цвет аккуратно собраны в букет, украшенный нотами роскошного мускуса и серой амбры. Их дополняют миндаль и гвоздика, а гальбанум усиливает металлические грани притягательного аромата. Композиция ONSEN стартует с нот бергамота, фенхеля, розмарина, тимьяна и эстрагона. В сердце этого необыкновенного зелья – сосновые иголки, кипарис и морской аккорд, а среди базовых нот – дубовый мох, ветивер и серая амбра. Аромат VOODOO с нотами ладана, герани, гальбанума, лайма и розового перца разжигает огонь влечения. Глубокая композиция построена вокруг нот, традиционных для бахура – восточной ароматической смеси. Среди них выделяются уд, пачули, сандал, роза, кожа и кардамон.",нет информации,Франция
11,https://goldapple.ru/19000208702-beso-feliz,BESO BEACH BESO FELIZ,5 436₽,4.5,"BESO FELIZ посвящен острову Ибица, который был пристанищем хиппи в 60-е годы.Аромат предлагает насладиться жизнью и проникнуться атмосферой гармонии, счастья. Аккорд каннабиса передает умиротворение и радость.Цветочные и бальзамические ноты символизируют любовь и свободу. Характер и личность композиции проявляются благодаря древесным нотам.",Распылите на кожу с расстояния 20-30 см.,Испания
12,https://goldapple.ru/19000235110-eden-the-absolute-happiness,FREESHAPE Eden,15 246₽,4.2,"Парфюмерный экстракт EDEN окутывает аурой позитива, поднимает настроение и пробуждает чувства. Он напоминает о том, что нужно наслаждаться простыми радостями жизни, находить удовольствие в каждом мгновении и взращивать внутреннее состояние абсолютного счастья.Благодаря пленительному сочетанию фруктовых нот аромат переносит в путешествие по богатому саду спелых фруктов и цветов. Композиция передает сочную сладость ягод, освежающий вкус цитрусовых, очарование экзотических фруктов и цветочных лепестков, гармонично подобранных для создания симфонии счастья.FreeShape — освободите душу и примерьте новый облик.",Для наружного применения.,Италия
13,https://goldapple.ru/19000008796-travel-set-coda,MIN NEW YORK TRAVEL SET: CODA,9 138₽,4.9,"В набор входят 3 миниатюры парфюмерной воды CODA от MIN NEW YORK (10 мл). Объем, идеальный для поездок, позволит всегда носить любимый аромат с собой или брать его в путешествия. Эту композицию открывают светлые ноты альдегидов, которые создают контраст с горячим и чувственным сердцем аромата. Сочные и сладкие сливы, цветочные и древесные ноты сочетаются с роскошной кожей и пленительным мускусом. Эта парфюмерная вода дарит чувство удовлетворения и баланса, оставаясь на грани между дерзостью рок-звезды и сдержанной элегантностью.",нет информации,Франция
14,https://goldapple.ru/19000010966-allegra-fantasia-veneta,BVLGARI Allegra Fantasia Veneta,24 505₽,5,"Шипровый фруктовый аромат Fantasia Veneta отражает ликование и радость, царящие на великолепных итальянских праздниках. Эта яркая композиция, в которой сочетаются пленительные пачули и сочный фруктовый аккорд, высвобождает чарующую энергию местных красочных фестивалей в незабываемом шипровом шлейфе. Праздничный аромат из коллекции Bvlgari Allegra, раскрывающей яркость и глубину итальянских эмоций, приятно удивляет роскошными, неожиданными всплесками нот. Декадентский аккорд красного персика окутывает изумительной феерией торжества. Это удивительное сочетание нот – верх экстравагантной итальянской элегантности, воплощение соблазна и опьяняющей чувственности. Усилить звучание фантазийной композиции и создать индивидуальное сочетание под своё настроение можно с помощью одной из эссенций коллекции Bvlgari Allegra, идеально дополняющих гармонию нот. Ваш персонализированный аромат начинается здесь!Ключевые ноты: пачули, красный персик",нет информации,Италия
15,https://goldapple.ru/19000295856-nutmeg-leather-vanilla-sinij,"TKANO Nutmeg, Leather & Vanilla, синий",2 658₽,4.9,"Свеча ароматическая с деревянным фитилем Nutmeg, Leather & Vanilla синего цвета из коллекции Edge с дизайном, вдохновленным русскими традициями, отлично подойдет для домашнего декора и создания в интерьере уютной, расслабляющей атмосферы.Фактурные грани и округлая поверхность фарфорового стакана отсылают нас к образу купола – символу духовного подъема и стремления к совершенству.Экологичные материалы, такие как соевый, кокосовый воск и фитиль из натурального дерева делают свечу безопасной для здоровья и окружающей среды.При горении она не выделяет вредных соединений и не коптит. Однако, во избежание перегрева стакана, рекомендуем не зажигать ее более, чем на 4 часа.Аромат свечи с нотами мускатного ореха, кожи и ванили понравится поклонникам селективной парфюмерии и всем, кто любит эксперименты и находит вдохновение в самой жизни. Ароматическая композиция ассоциируется с уверенностью, благородством и достатком.Размеры свечи: 8х8,5 см.Время горения: 60 часов.","-Регулярно подрезать фитиль, чтобы его высота не превышала 6-8 мм. Благодаря этому пламя будет ярким и ровным.-Не оставлять свечу на ветру или сквозняке – это может привести к неравномерному горению и, как следствие, – к образованию сильных подтеков.-Зажигать свечу, предварительно расположив ее на подсвечнике, если она идет без специального стакана.-Не оставлять горящую свечу без присмотра.-Использовать вдали от легковоспламеняющихся материалов.-Беречь от детей и домашних животных.",Россия
16,https://goldapple.ru/19000125771-pleine-lune,BASTILLE Pleine Lune,4 647₽,3.9,"Французская парфюмерная вода BASTILLE произведена на основе натуральных компонентов. Соблазнительный цветочный аромат PLEINE LUNE создан, чтобы очаровывать. Гипнотическая тубероза стала главной героиней этой элегантной парфюмерной истории.Её смелый и чувственный аккорд гармонично сочетается с невинным, свежим дуэтом чая маття и бергамота, превращающим звучание аромата в интригующую игру. Притягательная бархатная композиция одновременно манит и бросает вызов.Парфюмер – Anne Flipo.",Для наружного применения.,Франция
17,https://goldapple.ru/19000314069-marli-le-rua,12 PARFUMEURS FRANCAIS Марли-Ле-Руа,21 000₽,4.9,"Великолепный Марли-ле-Руа — небольшой королевский городок в регионе Иль-де-Франс.Сказочный район славится своим легендарным парком, прогулочным музеем, а также макетом замка, где жила королевская семья Людовика XIV.Прогуливаясь по тропинкам Марли-ле-Руа, легко окунуться в историю — живо разыгрывается ваше воображение, вдохновленное изумрудными прудами, извилистыми тропинками парка, величественными статуями и копиями знаменитых лошадей Марли.Сегодня город с богатым культурным наследием полон жизни, бурлит культурными событиями, привлекает единомышленников своей сильной энергетикой. Именно таким и стал одноименный парфюм – живым и энергетически сильным.Аромат раскрывается свежестью морского бриза, сладостью ванили и мускуса. В центре ноты арабского жасмина, иланг-иланга, мандарина и зеленого чая.Обилие редких растений королевского парка чувствуется в балансе аккордов бергамота, кардамона и лимона.Этот аромат полон жизни и горит искрами самых сильных эмоций!","Наносить на неповрежденные участки кожи, волос и одежду.",Франция
18,https://goldapple.ru/19000092354-nice-bergamote-by-antoine-maisondieu,ESSENTIAL PARFUMS PARIS NICE BERGAMOTE by Antoine Maisondieu,3 172₽,3.1,"Парфюмированное жидкое мыло ESSENTIAL PARFUMS PARIS мягко очищает руки и кожу тела, оставляя изысканный аромат. Средство с растительным глицерином питает кожу и не вызывает сухости после очищения. Экологичная и мягкая формула, подходящая даже для чувствительной кожи, на 98% состоит из натуральных ингредиентов. Игривый и солнечный аромат раскрывает ноты бергамота, жасмина, иланг-иланга и лепестков розы, а изысканный кедр и сладость бобов тонка дополняют яркую композицию.","нанесите на влажную кожу рук, вспеньте, затем смойте водой. Используйте в качестве геля для душа для очищения кожи тела.",Франция
19,https://goldapple.ru/19000312023-06-vanilla-spark,FOR ME BY GOLD APPLE 06. Vanilla spark,270₽,4.6,"Легкий парфюмированный крем с ароматом ванили, белого мускуса и амбры. Это атмосфера свидания в луна-парке, полного беззаботной радости: ваниль напоминает сладость крем-соды и сахарной ваты, а бархатный шлейф амбры и белого мускуса мысленно переносит в теплый романтический вечер.Он увлажняет руки, питает кожу и при продолжительном использовании делает ее менее чувствительной к окружающей среде. Благодаря легкой текстуре средство быстро впитывается, не создает маслянистое ощущение и не оставляет на предметах жирные следы.Крем подходит для сухой кожи — пантенол и сквалан быстро восстанавливают ее и возвращают мягкость. Нежность рукам придают также натуральные масла оливы и авокадо. А крепкую защиту рукам обеспечивают экстракт базилика и алоэ вера.",Нанесите крем массажными движениями на чистую сухую кожу рук.,Россия
20,https://goldapple.ru/19000010978-allegra-rock-n-rome,BVLGARI Allegra Rock'N'Rome,24 505₽,4.6,"Ликерный цветочно-восточный аромат Rock'N'Rome из коллекции Bvlgari Allegra, раскрывающей яркость и глубину итальянских эмоций, переносит на приятное свидание в Риме. Терраса с впечатляющим видом на итальянскую столицу, наслаждение от отдыха в хорошей компании, освежающий коктейль Апероль Спритц – эти ассоциации пробуждает дерзкое и соблазнительное сочетание нот османтуса и бензоина. Чарующий и волнующе сладкий, как романтическая встреча в Вечном городе, аромат BVLGARI переливается и искрится, раскрывая богатство эмоций и ощущений. Усилить его звучание и создать индивидуальную композицию под своё настроение можно с помощью одной из эссенций коллекции Bvlgari Allegra, идеально дополняющих гармонию нот. Ваш персонализированный аромат начинается здесь!Ключевые ноты: османтус, бензоин",нет информации,Италия
21,https://goldapple.ru/83810100017-voodoo,MIN NEW YORK VOODOO,19 278₽,4.7,"Проходит время, прежде чем моменты оборачиваются воспоминаниями. Аромат MiN NEW YORK Voodoo с нотами ладана, герани, гальбанума, лайма и розового перца разжигает огонь загадочного и необъяснимого влечения. Глубокая и насыщенная композиция построена вокруг нот, традиционных для бахура – восточной ароматической смеси. Среди них выделяются уд, пачули, сандал, роза, кожа и кардамон. Это характерное сочетание отражает единение тела и бессмертной души.",нет информации,Франция
22,https://goldapple.ru/19000173776-un-matin-a-l-orangerie,ROSE ET MARIUS Un matin à l’orangerie,7 110₽,4.4,"Прикоснитесь к искусству жизни в Провансе с уникальными композициями из Грасса. Парфюмерная вода Un matin à l’orangerie — неторопливое утро в оранжерее, наполненной зимним мягким светом и удивительной свежестью.Нежные белые цветы, кустарники юзу и мандариновые деревья, усыпанные яркими фруктами, хором источают аромат из столетних терракотовых горшков.Свежий и слегка острый аромат раскрывает все грани цитрусов от веточек до сочных плодов. Искрящийся аромат бергамота деликатно сочетается с апельсином, который украшают ноты клементина, юдзу и мандарина.Создатели работали над формулой 2 года, чтобы создать идеальную композицию с нотой белого мускуса, которая передает радость и бодрость.",Распылите на кожу на расстоянии 20-30 см.,Франция
23,https://goldapple.ru/19000330343-legends-of-the-wild-west,BOOMBLOOM legends of the wild west,1 638₽,4.8,"Аромат Legends of the wild west от BOOM BLOOM — путешествие во времени, пробуждающее образы бескрайних прерий и багряных закатов. В нем обольстительное сочетание нот пряного табачного листа, подкопченной кожи и землистой амбры.Деликатная нота белого меда уравновешивает композицию, а шлейф из аккордов бурбона и шафрана добавляет глубины и изысканности.«Легенды дикого Запада» из коллекции ароматов «Терапия души» — это костер, разожжённый под звездным небом, дым от которого смешивается с запахом сигар и текущего рекой бренди.Треск дров создает умиротворяющую мелодию, а в воздухе чувствуется неповторимый дух свободы.","Площадь ароматизации свечи весом 185 г — от 15 м². Для ароматизации большего пространства используйте несколько свечей. Не бойтесь экспериментировать и использовать разные ароматы одновременно.Подрежьте фитиль свечи до 5 мм., зажгите оба фитиля и оставьте гореть на 1- 3 часа, пока расплавленный воск не достигнет стенок сосуда. Не жгите свечу дольше трех часов подряд. Подрезайте фитиль перед каждым использованием. Попробуйте эти простые правила, чтобы продлить срок службы свечи.",Россия
24,https://goldapple.ru/19000191221-i-want,MARK BUXTON I want,10 902₽,5,"Яркий современный шипр от Mark Buxton отличается игривым и насыщенным фруктовым профилем, который раскрывается с верхних нот черной смородины и свежих ягод.В сердце интенсивной, оригинальной композиции – необычный цветочный букет, в котором собраны ирис, тубероза, жасмин, нероли, роза и магнолия. База аромата представляет собой сочетание древесного аккорда, пачулей и ветивера.Парфюмер – Марк Бакстон.",Только для наружного применения.,Франция
25,https://goldapple.ru/19000196057-fico-e-pera,LOGEVY FIRENZE 1965 Fico e Pera,16 500₽,4.9,"Два фрукта – груша и персик – создают аромат с взрывающиеся страстью и гармонией. Свежий нетривиальный дуэт, рождающий деликатный, элегантный и обволакивающий аромат. Здесь настолько гармонично сбалансирована сладость, горчинка и свежесть, в итоге получился идеальный аромат, который подойдёт и понравится абсолютно всем.","Окуните все палочки во флакон; для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек. Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее. Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.",Италия
26,https://goldapple.ru/19000117842-heliaca,LE COUVENT Heliaca,5 945₽,4.5,"Яркий древесно-пряный аромат HELIACA, созданный в традициях высокой французской парфюмерии, раскрывает удивительную мощь благородного уда.Лёгкую остроту насыщенному древесному аккорду добавляет нота имбиря, а кардамон придает композиции приятную свежесть. Символ этого аромата LE COUVENT – орёл, его свободный полёт и удивительно острый, пронзительный взгляд, от которого не ускользает ничто.Завораживающая, дикая сила этой хищной птицы впечатляет, как и природная гипнотическая сила уда.",Только для наружного применения.,Франция
27,https://goldapple.ru/19000236728-tobacco,FRANCK BOCLET TOBACCO,10 500₽,5,"Tabacco Franck Boclet - притягательный аромат для нее и для него. Семейство древесный, гурманский и восточный. Верхние ноты: имбирь, табак, слива. Ноты сердца: гвоздика, бобы тонка, кедр.",нет информации,Франция
28,https://goldapple.ru/19000059096-cirrus-leather,OJAR  Cirrus Leather,4 290₽,4,Воздушная кожа. Нежный мускус с оттенками зеленого чая и сандала.,"Парфюмерную воду следует наносить с расстояния 10-15 см. на тепловые точки: под коленями, область живота, запястья, сгибы локтей, район солнечного сплетения, точки за ушами, основание шеи со стороны спины, затылок. Как правило на одну точку достаточно один раз нажать на спрей. Растирать парфюмерную воду не рекомендуется, так как это может нарушить правильный процесс раскрытия композиции. Для повышения стойкости рекомендуем наносить на хорошо увлажненную кожу, комбинируя с кремом, молочком или маслом для тела.",Франция
29,https://goldapple.ru/19000247263-supul-silky-body-lotion,I'M FROM Supul silky body lotion,2 134₽,4.8,"Лосьон увлажняет и питает кожу, устраняет сухость и шелушения.Средство дарит чувственный цветочный аромат и помогает поддерживать гладкость и упругость кожи тела.","После душа или ванны нанесите лосьон на чистую и сухую кожу тела, распределите легкими массирующими движениями.",нет информации
30,https://goldapple.ru/19000125244-the-pleasure,CORETERNO The Pleasure,7 900₽,4.9,"Опыт удовольствия мгновенен, но это не значит, что мы не можем погружаться в него снова и снова.Удовольствие – это осязаемое проявление радости.Свеча с квинтэссенцией аромата розы.Этикетка с гравировкой на золотой фольге.Фитиль из 100% натурального хлопка.Время горения: более 60 часов.",Срезать фитиль на 5 мм перед каждым использованием.,Италия
31,https://goldapple.ru/19760328382-stardust,MIN NEW YORK STARDUST,19 278₽,5,"Каждый атом наших тел возник из взорвавшейся звезды. Произошедшие из космической звёздной пыли, мы создаем свое пространство в безграничной Вселенной. В каждом из нас заложены прекрасные сила и страсть, отражением которых стал аромат MiN NEW YORK Stardust. В композиции сочетаются ноты, способные очаровывать и притягивать, как и таинственный космос, который всегда интригует и манит людей. Необычная гармония жасмина, розы, флердоранжа и фиалки с альдегидами и базовыми нотами мускуса, мха и бобов тонка напоминает об удивительной силе внутри нас. Фиалка делает аромат более мягким и пудровым, флёрдоранж придаёт свежесть и легкую сладость, а тонкий мускус обеспечивает стойкость аромата.",нет информации,Франция
32,https://goldapple.ru/19760313142-dark-cherry-amber,BANANA REPUBLIC Dark Cherry & Amber,8 305₽,4.5,"Dark Cherry & Amber от Banana Republic – это восточный цветочный аромат, раскрывающий нежную сладость спелой и сочной вишни и розовой фрезии. В сердце композиции – вишнёвый цвет и гурманская нота пралине, которые формируют манящий и соблазнительный характер аромата. Древесный аккорд с белым кедром и амбра окутывают теплом и добавляют чувственность, перед которой невозможно устоять.Парфюмер – Claude Dir.",Только для наружного применения.,Франция
